公司名稱,職缺名稱,徵才網址,薪水區間
關貿網路股份有限公司,資料工程師(T53),http://www.104.com.tw/job/4ftgq?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
信業國際有限公司,資料庫工程師,http://www.104.com.tw/job/6aqsa?jobsource=2018indexpoc,"月薪 30,000~60,000元"
緯德科技股份有限公司 (TechLink Corporation),SQL資料庫工程師,http://www.104.com.tw/job/5e6v1?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
鉑麟科技股份有限公司,資料工程師,http://www.104.com.tw/job/6pjfz?jobsource=2018indexpoc,"月薪 50,000~80,000元"
臺灣發展軟體科技股份有限公司,Deep Learning Data Engineer 深度學習資料工程師,http://www.104.com.tw/job/70blb?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
嘉實資訊股份有限公司,資料庫研發工程師,http://www.104.com.tw/job/44d7a?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
資寶科技股份有限公司,資深資料工程師/Senior Data Engineer,http://www.104.com.tw/job/70fu1?jobsource=2018indexpoc,"年薪 1,200,000~1,800,000元"
Nexio Technology Limited_睿世軟體科技股份有限公司,SQL Developer | 資料庫工程師,http://www.104.com.tw/job/6nn99?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
云智資訊股份有限公司,資料庫工程師,http://www.104.com.tw/job/6u7ri?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
圖策科技股份有限公司,ML / Data Engineer 機器學習與資料工程師,http://www.104.com.tw/job/6yd49?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
台灣大哥大股份有限公司,I202 資料庫軟體工程師,http://www.104.com.tw/job/6xiif?jobsource=2018indexpoc,"月薪 31,000~53,000元"
汎宇電商股份有限公司,資料庫管理工程師,http://www.104.com.tw/job/70iph?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
奇美拉股份有限公司,資料庫工程師,http://www.104.com.tw/job/6ectf?jobsource=2018indexpoc,"月薪 35,000~50,000元"
域動行銷股份有限公司,資料工程師 (機器學習)(具圖像辨識經驗佳),http://www.104.com.tw/job/6shtp?jobsource=2018indexpoc,"月薪 40,000元以上"
雨林新零售股份有限公司,DBA 資料庫工程師,http://www.104.com.tw/job/6xvb0?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
皇霖實業股份有限公司,SQL資料庫工程師,http://www.104.com.tw/job/6wm60?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
臺灣中小企業銀行股份有限公司,資料倉儲工程師,http://www.104.com.tw/job/6f3dr?jobsource=2018indexpoc,"月薪 33,000~67,000元"
億力資訊股份有限公司,資料庫工程師,http://www.104.com.tw/job/41mm3?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
昱冠資訊股份有限公司,資料科學工程師,http://www.104.com.tw/job/5ugo5?jobsource=2018indexpoc,"月薪 26,000~82,000元"
緯德科技股份有限公司 (TechLink Corporation),資料分析報表工程師,http://www.104.com.tw/job/5ebze?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
北都數位有線電視股份有限公司,資訊部-資料庫工程師,http://www.104.com.tw/job/6wpvd?jobsource=2018indexpoc,"月薪 32,000~40,000元"
億力資訊股份有限公司,資料庫工程師 (DBA),http://www.104.com.tw/job/6r51u?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
嘉實資訊股份有限公司,資料庫研發工程師,http://www.104.com.tw/job/44d7a?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
雨林新零售股份有限公司,DBA 資料庫工程師,http://www.104.com.tw/job/6xvb0?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
Nexio Technology Limited_睿世軟體科技股份有限公司,SQL Developer | 資料庫工程師,http://www.104.com.tw/job/6nn99?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
皇霖實業股份有限公司,SQL資料庫工程師,http://www.104.com.tw/job/6wm60?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
臺灣中小企業銀行股份有限公司,資料倉儲工程師,http://www.104.com.tw/job/6f3dr?jobsource=jolist_c_relevance,"月薪 33,000~67,000元"
億力資訊股份有限公司,資料庫工程師,http://www.104.com.tw/job/41mm3?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
台灣大哥大股份有限公司,I202 資料庫軟體工程師,http://www.104.com.tw/job/6xiif?jobsource=jolist_c_relevance,"月薪 31,000~53,000元"
汎宇電商股份有限公司,資料庫管理工程師,http://www.104.com.tw/job/70iph?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
緯德科技股份有限公司 (TechLink Corporation),資料分析報表工程師,http://www.104.com.tw/job/5ebze?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
欣創科技有限公司,SQL 資料庫工程師,http://www.104.com.tw/job/6kgjf?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
動力安全資訊股份有限公司,資料備份 助理工程師,http://www.104.com.tw/job/67fib?jobsource=jolist_c_relevance,"月薪 28,000~40,000元"
北都數位有線電視股份有限公司,資訊部-資料庫工程師,http://www.104.com.tw/job/6wpvd?jobsource=jolist_c_relevance,"月薪 32,000~40,000元"
億力資訊股份有限公司,資料庫工程師 (DBA),http://www.104.com.tw/job/6r51u?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
中國人壽保險股份有限公司(總公司),ETL資料工程師(科主管),http://www.104.com.tw/job/6sf18?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
泰金寶電通股份有限公司,RC-資料庫系統工程師,http://www.104.com.tw/job/6pt77?jobsource=jolist_c_relevance,"月薪 31,000~70,000元"
國泰世華商業銀行股份有限公司_人力資源部,"【數據生態營運】資料科學工程師_ 數據管理 (數數發中心, DDT)",http://www.104.com.tw/job/6rkkm?jobsource=jolist_c_relevance,"月薪 30,000~80,000元"
億力資訊股份有限公司,資料庫開發工程師,http://www.104.com.tw/job/4ca0c?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
億力資訊股份有限公司,Oracle資料庫管理工程師,http://www.104.com.tw/job/44hpt?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
酷遊天股份有限公司,[資訊] 資料庫工程師 Database Administrator,http://www.104.com.tw/job/60nmd?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
利穎電信股份有限公司,網頁/資料庫 工程師,http://www.104.com.tw/job/5klax?jobsource=jolist_c_relevance,"月薪 58,000~80,000元"
葳誠科技有限公司,MS SQL DBA 資料庫開發管理工程師,http://www.104.com.tw/job/4ejvi?jobsource=jolist_c_relevance,"月薪 50,000~80,000元"
力成科技股份有限公司,技術工程類- 資料庫工程師 DBA Database Administrator,http://www.104.com.tw/job/6zwgo?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
緯創資通股份有限公司,RRH0406-資料庫開發工程師,http://www.104.com.tw/job/6q6ho?jobsource=jolist_c_relevance,"月薪 30,000~60,000元"
歐立威科技股份有限公司,MongoDB 資料庫工程師 (NoSQL),http://www.104.com.tw/job/6t4vq?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
歐立威科技股份有限公司,資料倉儲工程師 (新竹) (資料庫/大數據/巨量資料/資料倉儲/新鮮人可),http://www.104.com.tw/job/6yxzi?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
炬識科技股份有限公司,Data Engineer-Hadoop Admin II 資料工程師(系統建置維護),http://www.104.com.tw/job/4owz9?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
歐立威科技股份有限公司,資料倉儲工程師 (台北) (資料庫/大數據/巨量資料/資料倉儲/新鮮人可),http://www.104.com.tw/job/6r2nr?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
樂天國際商業銀行股份有限公司,樂天銀行(純網銀)_資料庫工程師,http://www.104.com.tw/job/719l3?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
聯強國際股份有限公司,資料庫工程師(全球第二大IT通路集團),http://www.104.com.tw/job/2o11o?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
富智康國際股份有限公司(鴻海集團),【S】資料庫開發與管理工程師(土城),http://www.104.com.tw/job/6yx0v?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
國眾電腦股份有限公司,資料庫工程師(新店),http://www.104.com.tw/job/6rs1u?jobsource=2018indexpoc,"月薪 30,000~35,000元"
台灣立訊精密有限公司,資料庫管理工程師 Oracle DBA (派駐越南),http://www.104.com.tw/job/6srdc?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
鴻海精密工業股份有限公司,高雄軟體園區-資料軟體工程師,http://www.104.com.tw/job/5hbsp?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
國泰金控_國泰金融控股股份有限公司,"資料科學工程師（Python 軟體工程）-- 資料科學實驗室 (數數發中心, DDT)",http://www.104.com.tw/job/6w7ov?jobsource=2018indexpoc,"月薪 30,000~90,000元"
復旦電競有限公司,資料庫SQL工程師,http://www.104.com.tw/job/5tkay?jobsource=2018indexpoc,"月薪 35,000~60,000元"
國泰世華商業銀行股份有限公司_人力資源部,【數據生態營運】資料營運工程師-Site Reliability Engineer(SRE),http://www.104.com.tw/job/6xu96?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
